inLat,inLong,outLat,outLong,coord_string,parse_error
41.6664,-112.549,,,"lat 41°38′119″N, long 112°27′357″W",Coordinate not parsed
42.9167,-108.667,42.08417,108.46667,"42°53.597′N, 108°28.417′W",Parsed coordinates do not match original
8.499,-77.333,8.49500,-77.33417,"8°29'42""N, 77°20'3""W",Parsed coordinates do not match original
29.2167,-103.266,,,"29°5.86″ N, 103°14′13.54″ W",Coordinate not parsed
40.3667,-105.708,40.56667,-105.50000,Rocky Mountain National Park extends from 40°10′ N to 40°34′ N latitude and 105°30′ W to 105°55′ W longitude,Parsed coordinates do not match original
66.0334,17.8167,66.15000,17.71667,65°55′ N to 66°09′ N; 17°43′ E to 17°55′ E,Parsed coordinates do not match original
25.125,-80.47,25.00194,80.46667,"25°07.5′ N, 80°28.2′ W",Parsed coordinates do not match original
24.975,-80.842,24.08556,80.83333,"24°58.5′ N, 80°50.5′ W",Parsed coordinates do not match original
24.942,-80.792,24.08500,80.78333,"24°56.5′ N, 80°47.5′ W",Parsed coordinates do not match original
-41.1683,-71.3809,-41.53333,71.26667,c. 40°36′ to 41°32′ S and 71°16′ to 40′ W,Parsed coordinates do not match original
44.1507,-83.8477,46.05083,90.41667,"between 46°33.85′ N, 90°25.06′ W and 41°44.48′ N, 83°28.51′ W",Parsed coordinates do not match original
44.1507,-83.8477,41.06778,83.46667,"between 46°33.85′ N, 90°25.06′ W and 41°44.48′ N, 83°28.51′ W",Parsed coordinates do not match original
49.525,80.2583,50.20000,79.81667,48°51′–50°12′ N and 79°49′–80°42′ W,Parsed coordinates do not match original
37.66,-118.833,37.66667,-118.83333,"37°40' N, 118°50' W",Parsed coordinates do not match original
26.6603,77.908,26.65200,77.91267,"N 26°39'37.12""  E 77°54'28.76"" ",Parsed coordinates do not match original
46.7823,23.9167,46.80000,23.60000,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.5044,22.5401,46.80000,23.60000,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.7792,23.9642,46.80000,23.60000,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
