inLat,inLong,outLat,outLong,coord_string,parse_error
41.6664,-112.549,41.63333,119.0,"lat 41°38′119″N, long 112°27′357″W",Parsed coordinates do not match original
42.9167,-108.667,42.89328,-108.47362,"42°53.597′N, 108°28.417′W",Parsed coordinates do not match original
8.499,-77.333,8.495,-77.33417,"8°29'42""N, 77°20'3""W",Parsed coordinates do not match original
29.2167,-103.266,,,"29°5.86″ N, 103°14′13.54″ W",Coordinate not parsed
40.3667,-105.708,40.56667,-105.5,Rocky Mountain National Park extends from 40°10′ N to 40°34′ N latitude and 105°30′ W to 105°55′ W longitude,Parsed coordinates do not match original
66.0334,17.8167,66.15,17.71667,65°55′ N to 66°09′ N; 17°43′ E to 17°55′ E,Parsed coordinates do not match original
-41.1683,-71.3809,-41.53333,71.26667,c. 40°36′ to 41°32′ S and 71°16′ to 40′ W,Parsed coordinates do not match original
64,18,62.13333,66.26667,northern Sweden between 62°08′ and 66°16′ N,Parsed coordinates do not match original
44.1507,-83.8477,46.56417,-90.41767,"between 46°33.85′ N, 90°25.06′ W and 41°44.48′ N, 83°28.51′ W",Parsed coordinates do not match original
44.1507,-83.8477,41.74133,-83.47517,"between 46°33.85′ N, 90°25.06′ W and 41°44.48′ N, 83°28.51′ W",Parsed coordinates do not match original
49.525,80.2583,-48.85,50.2,48°51′–50°12′ N and 79°49′–80°42′ W,Parsed coordinates do not match original
49.525,80.2583,-79.81667,-80.7,48°51′–50°12′ N and 79°49′–80°42′ W,Parsed coordinates do not match original
37.66,-118.833,37.66667,-118.83333,"37°40' N, 118°50' W",Parsed coordinates do not match original
46.7823,23.9167,-46.55,46.8,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.7823,23.9167,-23.6,23.95,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.5044,22.5401,-46.55,46.8,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.5044,22.5401,-23.6,23.95,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.7792,23.9642,-46.55,46.8,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.7792,23.9642,-23.6,23.95,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
46.5579,23.9098,-46.55,46.8,"46°33′–46°48′ N, 23°36′–23°57′ E",Parsed coordinates do not match original
